consultant  n.顾问
questionnaire  n.调查表
interviewer  n.采访者
customer  n.顾客
promotion  n.晋升
check  n.支票
institution  n.机构
wage  n.工资
recovery  n.复兴
current  adj.现在的
raise  v.提高
pressure  n.压力
operation  n.操作
cooperate  v.合作
layoff 解雇
loan  n.贷款
bubble  n.泡沫
merge  v.合并
rate  n.比率
commercial  adj.商业的
approval  n.赞同
shrink  v.收缩
restructure  v.重组
expand  v.扩大
recruit  v.招聘；征募
innovate  v.革新
competitor  n.竞争对手
bankruptcy  n.破产
unforeseen  adj.意料之外的
previous  adj.先前的
payment  n.支付
mortgage  v.抵押
guidance  n.指导
benefit  n.利益
insurance  n.保险
postpone  v.延期
International Labour Organization 国际劳工组织
unemployment  n.失业人数；失业率
employee  n.雇工，雇员
crisis  n.危机
violate  vt.违反
penalty  n.惩罚
implement  vt.实施
innovation  n.改革，创新
reward  n.报酬
investment  n.投资
giant  n.（商业）巨头
corporate  adj.公司的
consume  vt.消耗，消费
imitation  n.模仿
competition  n.竞争
competitor  n.竞争者
asset  n.资产
capacity  n.能力
investigate  vt.调查
rival  n.竞争者 adj.竞争的
manufacturer  n.制造商
invalid  adj.无效的
shaky  adj.（地位，信用等）动摇的
financial  adj.财政的
temporary  adj.临时的
candidate  n.候选人
update  v.更新
effective  adj.有效的
accuracy  n.准确性
simultaneous  adj.同时发生的
disturb  v.干扰
negative  adj.消极的
precaution  n.预防措施
native  adj.当地的
revitalize  v.振兴
nuclear  adj.核能的
revolution  v.革命
countless  adj.无数的
crash  v.碰撞；贬值，倒闭
operator  n.操作员
privacy  n.隐私
requirement  n.需求
definite  adj.明确的
technology  n.科技
associate with  与...有关
expert  n.专家
psychological  adj.心理的
examination  n.检查
impact  n.影响
unexpectedly adv.未料到地
nutrition  n.营养
overemphasis  n.过分强调
criteria  n.标准
conception  n.概念
overestimate  v.高估
illustrate  vt.说明
emotional  adj.表现强烈情感的
persuade  v.说服；劝说
presentation  n.陈述
physical  adj.身体的；物质的
potential  n.潜力，潜能
reputation  n.名气，名声
smpathetic  adj.同情的，有同情心的
tricky  adj.狡猾的
remind  vt.使想起，使记起
version  n.版本
fuel  n.燃料
release  vt.释放
excessively  adv.过度地;过分地;极度地
stockbroker  n.股票经纪人
compensation  n.补偿，赔偿
intelligence  n.智力
victim  n.牺牲者，受害者
symptom  n.症状
mental  adj.内心的，精神的
precaution  n.预防措施
source  n.根源；源头
mutual  adj.共有的;共同的
define  vi.（给词、短语等）下定义
vulnerable  adj.易受伤的
poverty  n.贫穷
obesity  n.肥胖;肥胖症
criticism  n.批评，批判
physically  adv.身体上
be vulnerable  a.脆弱的；易受影响的（to）
be immune  a.有免疫力的，不受....影响的（to）
be subject to 受制于....；遭受
be reluctant  a.不愿意的，不情愿的；（to）
be ready to 愿意做
be bound to 一定会
attach importance to 重视
vary  v.不同，差异
discourage  v.阻碍…from
contribute  v.有助于；导致(to)
exaggerate  v.夸张
deprive  v.剥夺…of…
hinder  v.阻碍
ensure  v.确保
reflect  v.反映
assume  v.假定；承担（assumption.）
restrict  v.限制
embrace  v.采纳，接受
promote  v.促进；促销
impose  v.强加...(on)
represent  v.代表
incompetent  a.无能力的，不能胜任的
indispensable  a.必不可少的
prejudice  n./v.偏见
regulate  v.管理
interfere  v.干涉 in/with
priority  n.优先(to)
transform  v.改变，转变
accelerate  v.加速，促进
challenge  v.质疑；挑战
critical  a.批判的，批评的；决定性的
facilitate  v.促进；使便利
inadequate  a.不足的
curb  v./n.抑制，阻碍
conventional  a.传统的
deteriorate  v.恶化
appeal  v.吸引；呼吁(~to sb for sth)
unbiased  a.公平的
dramatically  ad.引人注目地；大幅度地；
urgent  a.紧急的，急迫的
accurate  a.精确的，精准的
eliminate  v.消除；摆脱
qualification  n.资格
overwhelming  a.压倒性的，势不可挡的
controversial  a.有争议的
perceive  v.感知，察觉(perception.)
obstacle  n.障碍，阻碍
tackle  v.处理
stereotyped  a.陈规的，刻板的
diligent  a.勤勉的，勤奋的
delight  n.高兴
remarkable  a.非凡的，卓越的
appropriate  a.合适的，适当的
sound  a.可靠的，健全的
splendid  a.极好的，辉煌的，灿烂的
benign  a.良性的；和蔼的
fruitful  a.有成效的
decent  a.体面地，得体的
valid  a.有效的
positive  a.积极的
promising  a.有前途的，有希望的
beneficial  a.有益的
favorable  a.有利的；赞同的
constructive  a.有建设性的
rosy  a.美好的，乐观的
optimistic  a.乐观的
hopeful  a.有希望的，有前途的
rewarding  a.有益的；有报酬的
profitable  a.有益的；赚钱的，有利可图的
advantageous  a.有利的
negative  a.否定的，消极的，反面的
pessimistic  a.悲观的
apprehensive  a.忧虑的
biased  a.有偏见的，偏心的
critical  a.持批评态度的
depressing  a.令人沮丧的
disappointing  a.令人失望的
gloomy  a.沮丧的，忧愁的
indignant  a.愤怒的
objection  n.反对
oppose  v.反对
scared  a.惊恐的，恐慌的
panic  a.惊恐的
suspicious  a.可疑的，疑心的
contempt  n.轻视,轻蔑
ironic  a.讽刺的
condemn  v.责备
frustrated  a.挫折的,挫败的
insincere  a.不诚实的,伪善的
impatient  a.不耐烦的
anxious  a.焦虑的
paradoxical  a.矛盾的
confusing  a.混淆的,令人困惑的
disapproval  n.不赞成
irrelevant  a.不相关的
prejudiced  a.有成见的；偏颇的
skeptical  a.怀疑的
invalid  a.无效的
adversely  ad.不利地
unfavorable  a.不利的
